date,location,positive,tested,symptomatic,asymptomatic,sym_unknown,hosp_require,hosp_mild,hosp_severe,hosp_unknown,hosp_waiting,discharged,fatal,vaccinated_1st,vaccinated_2nd,vaccinated_3rd,vaccinated_4th,vaccinated_5th
2020-05-17,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-18,Domestic,16132,211832,0,0,0,3667,0,228,0,0,11547,749,0,0,0,0,0
2020-05-18,Airport,158,37490,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0
2020-05-18,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-19,Domestic,16192,216624,0,0,0,3400,0,213,0,0,11867,763,0,0,0,0,0
2020-05-19,Airport,158,38222,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0
2020-05-19,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-20,Domestic,16212,218744,0,0,0,3009,0,210,0,0,12269,771,0,0,0,0,0
2020-05-20,Airport,158,38704,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0
2020-05-20,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-21,Domestic,16251,221397,0,0,0,2761,0,195,0,0,12655,777,0,0,0,0,0
2020-05-21,Airport,158,39346,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0
2020-05-21,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-22,Domestic,16339,224972,0,0,0,2495,0,176,0,0,12988,796,0,0,0,0,0
2020-05-22,Airport,159,39701,0,0,0,157,0,0,0,0,2,0,0,0,0,0,0
2020-05-22,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-23,Domestic,16362,227445,0,0,0,2293,0,174,0,0,13227,808,0,0,0,0,0
2020-05-23,Airport,159,40203,0,0,0,157,0,0,0,0,2,0,0,0,0,0,0
2020-05-23,Returnee,15,829,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2020-05-24,Domestic,16375,229669,0,0,0,2130,0,168,0,0,13396,820,0,0,0,0,0
